id,common_code,rakuten_sku,product_name,choice_info,created_at
546,CM034,CHOICE_W22,牛タン皮チップ 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581332', 'sync_date': '2025-08-12T03:56:46.714938+00:00', 'choice_code': 'W22', 'choice_name': 'W22 Choice', 'choice_value': '牛タン皮チップ 30g', 'rakuten_sku_admin': '1781'}",2025-08-12T03:56:46.714938+00:00
547,CM006,CHOICE_W23,エゾ鹿スペアリブ 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581271', 'sync_date': '2025-08-12T03:56:46.780891+00:00', 'choice_code': 'W23', 'choice_name': 'W23 Choice', 'choice_value': 'エゾ鹿スペアリブ 30g', 'rakuten_sku_admin': '1850'}",2025-08-12T03:56:46.780891+00:00
548,CM035,CHOICE_W24,牛鬼筋 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581349', 'sync_date': '2025-08-12T03:56:46.831522+00:00', 'choice_code': 'W24', 'choice_name': 'W24 Choice', 'choice_value': '牛鬼筋 30g', 'rakuten_sku_admin': '1833'}",2025-08-12T03:56:46.831522+00:00
549,CM033,CHOICE_W25,仔牛のテール 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581288', 'sync_date': '2025-08-12T03:56:46.897722+00:00', 'choice_code': 'W25', 'choice_name': 'W25 Choice', 'choice_value': '仔牛のテール 30g', 'rakuten_sku_admin': '1720'}",2025-08-12T03:56:46.897722+00:00
550,CM063,CHOICE_W26,クマザサ鹿パウダー30g（犬）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581608', 'sync_date': '2025-08-12T03:56:46.999952+00:00', 'choice_code': 'W26', 'choice_name': 'W26 Choice', 'choice_value': 'クマザサ鹿パウダー30g（犬）', 'rakuten_sku_admin': '1844'}",2025-08-12T03:56:46.999952+00:00
551,CM064,CHOICE_W27,クマザサ鮭パウダー30g（犬）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581615', 'sync_date': '2025-08-12T03:56:47.081529+00:00', 'choice_code': 'W27', 'choice_name': 'W27 Choice', 'choice_value': 'クマザサ鮭パウダー30g（犬）', 'rakuten_sku_admin': '1845'}",2025-08-12T03:56:47.081529+00:00
552,CM065,CHOICE_W28,クマザサ白子パウダー30g（犬）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581622', 'sync_date': '2025-08-12T03:56:47.147863+00:00', 'choice_code': 'W28', 'choice_name': 'W28 Choice', 'choice_value': 'クマザサ白子パウダー30g（犬）', 'rakuten_sku_admin': '1846'}",2025-08-12T03:56:47.147863+00:00
553,CM044,CHOICE_W29,ころころクッキー 30粒,"{'category': 'google_sheets_sync', 'jan_code': '4573265584265', 'sync_date': '2025-08-12T03:56:47.232482+00:00', 'choice_code': 'W29', 'choice_name': 'W29 Choice', 'choice_value': 'ころころクッキー 30粒', 'rakuten_sku_admin': '1759'}",2025-08-12T03:56:47.232482+00:00
554,CM042,CHOICE_W30,ふわふわスモークサーモン 15g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584012', 'sync_date': '2025-08-12T03:56:47.315355+00:00', 'choice_code': 'W30', 'choice_name': 'W30 Choice', 'choice_value': 'ふわふわスモークサーモン 15g', 'rakuten_sku_admin': '1753'}",2025-08-12T03:56:47.315355+00:00
555,CM043,CHOICE_W31,スモークサーモンチップ 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584036', 'sync_date': '2025-08-12T03:56:47.381436+00:00', 'choice_code': 'W31', 'choice_name': 'W31 Choice', 'choice_value': 'スモークサーモンチップ 30g', 'rakuten_sku_admin': '1754'}",2025-08-12T03:56:47.381436+00:00
556,CM058,CHOICE_W32,コーンフレーク 20g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584210', 'sync_date': '2025-08-12T03:56:47.464639+00:00', 'choice_code': 'W32', 'choice_name': 'W32 Choice', 'choice_value': 'コーンフレーク 20g', 'rakuten_sku_admin': '1839'}",2025-08-12T03:56:47.464639+00:00
557,CM059,CHOICE_W33,かぼちゃフレーク 20g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584227', 'sync_date': '2025-08-12T03:56:47.548450+00:00', 'choice_code': 'W33', 'choice_name': 'W33 Choice', 'choice_value': 'かぼちゃフレーク 20g', 'rakuten_sku_admin': '1840'}",2025-08-12T03:56:47.54845+00:00
558,CM060,CHOICE_W34,にんじんフレーク 20g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584234', 'sync_date': '2025-08-12T03:56:47.614755+00:00', 'choice_code': 'W34', 'choice_name': 'W34 Choice', 'choice_value': 'にんじんフレーク 20g', 'rakuten_sku_admin': '1841'}",2025-08-12T03:56:47.614755+00:00
559,CM061,CHOICE_W35,ビーツフレーク 15g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584241', 'sync_date': '2025-08-12T03:56:47.681257+00:00', 'choice_code': 'W35', 'choice_name': 'W35 Choice', 'choice_value': 'ビーツフレーク 15g', 'rakuten_sku_admin': '1842'}",2025-08-12T03:56:47.681257+00:00
560,CM062,CHOICE_W36,ポテトフレーク 15g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584258', 'sync_date': '2025-08-12T03:56:47.748487+00:00', 'choice_code': 'W36', 'choice_name': 'W36 Choice', 'choice_value': 'ポテトフレーク 15g', 'rakuten_sku_admin': '1843'}",2025-08-12T03:56:47.748487+00:00
561,CM002,CHOICE_W37,エゾ鹿カットジャーキー 70g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584272', 'sync_date': '2025-08-12T03:56:47.819485+00:00', 'choice_code': 'W37', 'choice_name': 'W37 Choice', 'choice_value': 'エゾ鹿カットジャーキー 70g', 'rakuten_sku_admin': '1702'}",2025-08-12T03:56:47.819485+00:00
562,CM039,CHOICE_W38,ラムカットジャーキー 70g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584289', 'sync_date': '2025-08-12T03:56:47.931530+00:00', 'choice_code': 'W38', 'choice_name': 'W38 Choice', 'choice_value': 'ラムカットジャーキー 70g', 'rakuten_sku_admin': '1724'}",2025-08-12T03:56:47.93153+00:00
563,CM038,CHOICE_W39,鮭カットジャーキー 70g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584296', 'sync_date': '2025-08-12T03:56:47.986242+00:00', 'choice_code': 'W39', 'choice_name': 'W39 Choice', 'choice_value': '鮭カットジャーキー 70g', 'rakuten_sku_admin': '1717'}",2025-08-12T03:56:47.986242+00:00
564,CM040,CHOICE_W40,たらカットジャーキー 70g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584302', 'sync_date': '2025-08-12T03:56:48.065236+00:00', 'choice_code': 'W40', 'choice_name': 'W40 Choice', 'choice_value': 'たらカットジャーキー 70g', 'rakuten_sku_admin': '1728'}",2025-08-12T03:56:48.065236+00:00
565,CM041,CHOICE_W41,ほっけカットジャーキー 70g,"{'category': 'google_sheets_sync', 'jan_code': '4573265584319', 'sync_date': '2025-08-12T03:56:48.133795+00:00', 'choice_code': 'W41', 'choice_name': 'W41 Choice', 'choice_value': 'ほっけカットジャーキー 70g', 'rakuten_sku_admin': '1729'}",2025-08-12T03:56:48.133795+00:00
566,CM048,CHOICE_V01,レトルト エゾ鹿ステーキ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581509', 'sync_date': '2025-08-12T03:56:48.248108+00:00', 'choice_code': 'V01', 'choice_name': 'V01 Choice', 'choice_value': 'レトルト エゾ鹿ステーキ 100g', 'rakuten_sku_admin': '1797'}",2025-08-12T03:56:48.248108+00:00
567,CM049,CHOICE_V02,レトルト エゾ鹿バーグ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581516', 'sync_date': '2025-08-12T03:56:48.315195+00:00', 'choice_code': 'V02', 'choice_name': 'V02 Choice', 'choice_value': 'レトルト エゾ鹿バーグ 100g', 'rakuten_sku_admin': '1798'}",2025-08-12T03:56:48.315195+00:00
568,CM050,CHOICE_V03,レトルト エゾ鹿角切りレバー 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581523', 'sync_date': '2025-08-12T03:56:48.398822+00:00', 'choice_code': 'V03', 'choice_name': 'V03 Choice', 'choice_value': 'レトルト エゾ鹿角切りレバー 100g', 'rakuten_sku_admin': '1799'}",2025-08-12T03:56:48.398822+00:00
569,CM051,CHOICE_V04,レトルト サーモンハラス 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581530', 'sync_date': '2025-08-12T03:56:48.481407+00:00', 'choice_code': 'V04', 'choice_name': 'V04 Choice', 'choice_value': 'レトルト サーモンハラス 100g', 'rakuten_sku_admin': '1800'}",2025-08-12T03:56:48.481407+00:00
570,CM052,CHOICE_V05,レトルト 鮭白子 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581547', 'sync_date': '2025-08-12T03:56:48.581581+00:00', 'choice_code': 'V05', 'choice_name': 'V05 Choice', 'choice_value': 'レトルト 鮭白子 100g', 'rakuten_sku_admin': '1801'}",2025-08-12T03:56:48.581581+00:00
571,CM053,CHOICE_V06,レトルト 鶏ささみ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581554', 'sync_date': '2025-08-12T03:56:48.687413+00:00', 'choice_code': 'V06', 'choice_name': 'V06 Choice', 'choice_value': 'レトルト 鶏ささみ 100g', 'rakuten_sku_admin': '1802'}",2025-08-12T03:56:48.687413+00:00
572,CM056,CHOICE_V07,レトルト 牛バーグ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581578', 'sync_date': '2025-08-12T03:56:48.748069+00:00', 'choice_code': 'V07', 'choice_name': 'V07 Choice', 'choice_value': 'レトルト 牛バーグ 100g', 'rakuten_sku_admin': '1810'}",2025-08-12T03:56:48.748069+00:00
573,CM055,CHOICE_V08,レトルト 馬うまバーグ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581561', 'sync_date': '2025-08-12T03:56:48.830942+00:00', 'choice_code': 'V08', 'choice_name': 'V08 Choice', 'choice_value': 'レトルト 馬うまバーグ 100g', 'rakuten_sku_admin': '1809'}",2025-08-12T03:56:48.830942+00:00
574,CM057,CHOICE_V09,レトルト カンガルーバーグ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581585', 'sync_date': '2025-08-12T03:56:48.898047+00:00', 'choice_code': 'V09', 'choice_name': 'V09 Choice', 'choice_value': 'レトルト カンガルーバーグ 100g', 'rakuten_sku_admin': '1819'}",2025-08-12T03:56:48.898047+00:00
575,CM054,CHOICE_V10,レトルト ほたて 80g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581592', 'sync_date': '2025-08-12T03:56:48.983736+00:00', 'choice_code': 'V10', 'choice_name': 'V10 Choice', 'choice_value': 'レトルト ほたて 80g', 'rakuten_sku_admin': '1827'}",2025-08-12T03:56:48.983736+00:00
429,CM048,CHOICE_L01,レトルト エゾ鹿ステーキ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581509', 'sync_date': '2025-08-12T03:56:38.024618+00:00', 'choice_code': 'L01', 'choice_name': 'L01 Choice', 'choice_value': 'レトルト エゾ鹿ステーキ 100g', 'rakuten_sku_admin': '1797'}",2025-08-12T03:56:38.024618+00:00
430,CM049,CHOICE_L02,レトルト エゾ鹿バーグ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581516', 'sync_date': '2025-08-12T03:56:38.100850+00:00', 'choice_code': 'L02', 'choice_name': 'L02 Choice', 'choice_value': 'レトルト エゾ鹿バーグ 100g', 'rakuten_sku_admin': '1798'}",2025-08-12T03:56:38.10085+00:00
431,CM050,CHOICE_L03,レトルト エゾ鹿角切りレバー 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581523', 'sync_date': '2025-08-12T03:56:38.200158+00:00', 'choice_code': 'L03', 'choice_name': 'L03 Choice', 'choice_value': 'レトルト エゾ鹿角切りレバー 100g', 'rakuten_sku_admin': '1799'}",2025-08-12T03:56:38.200158+00:00
432,CM051,CHOICE_L04,レトルト サーモンハラス 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581530', 'sync_date': '2025-08-12T03:56:38.283227+00:00', 'choice_code': 'L04', 'choice_name': 'L04 Choice', 'choice_value': 'レトルト サーモンハラス 100g', 'rakuten_sku_admin': '1800'}",2025-08-12T03:56:38.283227+00:00
433,CM052,CHOICE_L05,レトルト 鮭白子 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581547', 'sync_date': '2025-08-12T03:56:38.350921+00:00', 'choice_code': 'L05', 'choice_name': 'L05 Choice', 'choice_value': 'レトルト 鮭白子 100g', 'rakuten_sku_admin': '1801'}",2025-08-12T03:56:38.350921+00:00
434,CM053,CHOICE_L06,レトルト 鶏ささみ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581554', 'sync_date': '2025-08-12T03:56:38.415522+00:00', 'choice_code': 'L06', 'choice_name': 'L06 Choice', 'choice_value': 'レトルト 鶏ささみ 100g', 'rakuten_sku_admin': '1802'}",2025-08-12T03:56:38.415522+00:00
435,CM056,CHOICE_L07,レトルト 牛バーグ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581578', 'sync_date': '2025-08-12T03:56:38.515292+00:00', 'choice_code': 'L07', 'choice_name': 'L07 Choice', 'choice_value': 'レトルト 牛バーグ 100g', 'rakuten_sku_admin': '1810'}",2025-08-12T03:56:38.515292+00:00
436,CM055,CHOICE_L08,レトルト 馬うまバーグ 100g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581561', 'sync_date': '2025-08-12T03:56:38.581408+00:00', 'choice_code': 'L08', 'choice_name': 'L08 Choice', 'choice_value': 'レトルト 馬うまバーグ 100g', 'rakuten_sku_admin': '1809'}",2025-08-12T03:56:38.581408+00:00
437,CM068,CHOICE_M01,エゾ鹿チップ 10g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581400', 'sync_date': '2025-08-12T03:56:38.665611+00:00', 'choice_code': 'M01', 'choice_name': 'M01 Choice', 'choice_value': 'エゾ鹿チップ 10g（猫）', 'rakuten_sku_admin': '1739'}",2025-08-12T03:56:38.665611+00:00
438,CM069,CHOICE_M02,エゾ鹿フレーク 20g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581417', 'sync_date': '2025-08-12T03:56:38.731776+00:00', 'choice_code': 'M02', 'choice_name': 'M02 Choice', 'choice_value': 'エゾ鹿フレーク 20g（猫）', 'rakuten_sku_admin': '1740'}",2025-08-12T03:56:38.731776+00:00
439,CM070,CHOICE_M03,サーモンチップ 10g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581424', 'sync_date': '2025-08-12T03:56:38.815822+00:00', 'choice_code': 'M03', 'choice_name': 'M03 Choice', 'choice_value': 'サーモンチップ 10g（猫）', 'rakuten_sku_admin': '1741'}",2025-08-12T03:56:38.815822+00:00
440,CM071,CHOICE_M04,サーモンフレーク 20g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581448', 'sync_date': '2025-08-12T03:56:38.865681+00:00', 'choice_code': 'M04', 'choice_name': 'M04 Choice', 'choice_value': 'サーモンフレーク 20g（猫）', 'rakuten_sku_admin': '1742'}",2025-08-12T03:56:38.865681+00:00
441,CM072,CHOICE_M05,白子チップ 10g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581431', 'sync_date': '2025-08-12T03:56:38.965226+00:00', 'choice_code': 'M05', 'choice_name': 'M05 Choice', 'choice_value': '白子チップ 10g（猫）', 'rakuten_sku_admin': '1743'}",2025-08-12T03:56:38.965226+00:00
442,CM073,CHOICE_M06,チキンチップ 10g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581455', 'sync_date': '2025-08-12T03:56:39.035246+00:00', 'choice_code': 'M06', 'choice_name': 'M06 Choice', 'choice_value': 'チキンチップ 10g（猫）', 'rakuten_sku_admin': '1744'}",2025-08-12T03:56:39.035246+00:00
443,CM074,CHOICE_M07,チキンフレーク 20g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581462', 'sync_date': '2025-08-12T03:56:39.098680+00:00', 'choice_code': 'M07', 'choice_name': 'M07 Choice', 'choice_value': 'チキンフレーク 20g（猫）', 'rakuten_sku_admin': '1745'}",2025-08-12T03:56:39.09868+00:00
444,CM075,CHOICE_M08,クマザサ鹿ふりかけ30g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581479', 'sync_date': '2025-08-12T03:56:39.171347+00:00', 'choice_code': 'M08', 'choice_name': 'M08 Choice', 'choice_value': 'クマザサ鹿ふりかけ30g（猫）', 'rakuten_sku_admin': '1749'}",2025-08-12T03:56:39.171347+00:00
445,CM076,CHOICE_M09,クマザサ鮭ふりかけ 30g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581486', 'sync_date': '2025-08-12T03:56:39.248524+00:00', 'choice_code': 'M09', 'choice_name': 'M09 Choice', 'choice_value': 'クマザサ鮭ふりかけ 30g（猫）', 'rakuten_sku_admin': '1750'}",2025-08-12T03:56:39.248524+00:00
446,CM077,CHOICE_M10,クマザサ白子ふりかけ30g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581493', 'sync_date': '2025-08-12T03:56:39.332674+00:00', 'choice_code': 'M10', 'choice_name': 'M10 Choice', 'choice_value': 'クマザサ白子ふりかけ30g（猫）', 'rakuten_sku_admin': '1847'}",2025-08-12T03:56:39.332674+00:00
447,CM078,CHOICE_M11,クマザサ鶏ふりかけ30g（猫）,"{'category': 'google_sheets_sync', 'jan_code': '4573265581660', 'sync_date': '2025-08-12T03:56:39.430627+00:00', 'choice_code': 'M11', 'choice_name': 'M11 Choice', 'choice_value': 'クマザサ鶏ふりかけ30g（猫）', 'rakuten_sku_admin': '1863'}",2025-08-12T03:56:39.430627+00:00
448,CM096,CHOICE_C01,ちび袋 エゾ鹿スライスジャーキー 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581684', 'sync_date': '2025-08-12T03:56:39.499180+00:00', 'choice_code': 'C01', 'choice_name': 'C01 Choice', 'choice_value': 'ちび袋 エゾ鹿スライスジャーキー 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:39.49918+00:00
449,CM088,CHOICE_C02,ちび袋 ころころエゾ鹿ミンチ 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581691', 'sync_date': '2025-08-12T03:56:39.590780+00:00', 'choice_code': 'C02', 'choice_name': 'C02 Choice', 'choice_value': 'ちび袋 ころころエゾ鹿ミンチ 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:39.59078+00:00
450,CM094,CHOICE_C03,ちび袋 エゾ鹿ふりかけ 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581707', 'sync_date': '2025-08-12T03:56:39.657065+00:00', 'choice_code': 'C03', 'choice_name': 'C03 Choice', 'choice_value': 'ちび袋 エゾ鹿ふりかけ 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:39.657065+00:00
451,CM097,CHOICE_C04,ちび袋 エゾ鹿レバースライスジャーキー 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581714', 'sync_date': '2025-08-12T03:56:39.715314+00:00', 'choice_code': 'C04', 'choice_name': 'C04 Choice', 'choice_value': 'ちび袋 エゾ鹿レバースライスジャーキー 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:39.715314+00:00
452,CM100,CHOICE_C05,ちび袋 スライスサーモン 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581721', 'sync_date': '2025-08-12T03:56:39.782012+00:00', 'choice_code': 'C05', 'choice_name': 'C05 Choice', 'choice_value': 'ちび袋 スライスサーモン 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:39.782012+00:00
453,CM098,CHOICE_C06,ちび袋 スティックサーモン 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581738', 'sync_date': '2025-08-12T03:56:39.865312+00:00', 'choice_code': 'C06', 'choice_name': 'C06 Choice', 'choice_value': 'ちび袋 スティックサーモン 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:39.865312+00:00
454,CM091,CHOICE_C07,ちび袋 ひとくちサーモン 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581745', 'sync_date': '2025-08-12T03:56:39.948442+00:00', 'choice_code': 'C07', 'choice_name': 'C07 Choice', 'choice_value': 'ちび袋 ひとくちサーモン 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:39.948442+00:00
455,CM106,CHOICE_C08,ちび袋 鮭白子スライスジャーキー 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581769', 'sync_date': '2025-08-12T03:56:40.015215+00:00', 'choice_code': 'C08', 'choice_name': 'C08 Choice', 'choice_value': 'ちび袋 鮭白子スライスジャーキー 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:40.015215+00:00
456,CM101,CHOICE_C09,ちび袋 フレークサーモン 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581752', 'sync_date': '2025-08-12T03:56:40.098731+00:00', 'choice_code': 'C09', 'choice_name': 'C09 Choice', 'choice_value': 'ちび袋 フレークサーモン 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:40.098731+00:00
457,CM107,CHOICE_C10,ちび袋 鶏ささみスライスジャーキー 10g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581776', 'sync_date': '2025-08-12T03:56:40.165325+00:00', 'choice_code': 'C10', 'choice_name': 'C10 Choice', 'choice_value': 'ちび袋 鶏ささみスライスジャーキー 10g', 'rakuten_sku_admin': ''}",2025-08-12T03:56:40.165325+00:00
