choice_code,choice_name,choice_value,category,common_code,product_name,rakuten_sku,total_quantity,frequency
"◆１:3.ころころエゾ鹿ミンチ30g
◆２:3.ころころエゾ鹿ミンチ30g
◆３:3.ころころエゾ鹿ミンチ30g
◆４（※レトルトはこちらからお選びください）:3.ころころエゾ鹿ミンチ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_11,"◆１:3.ころころエゾ鹿ミンチ30g
◆２:3.ころころエゾ鹿ミンチ30g
◆３:3.ころころエゾ鹿",auto_extracted,CM511,"◆１:3.ころころエゾ鹿ミンチ30g
◆２:3.ころころエゾ鹿ミンチ30g
◆３:3.ころころエゾ鹿",CHOICE_CM511,63,36
"★1つ目:N06チキンチップ10g
★2つ目:N06チキンチップ10g
★3つ目:N06チキンチップ10g
★4つ目※クマザサふりかけはこちら:N06チキンチップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_12,"★1つ目:N06チキンチップ10g
★2つ目:N06チキンチップ10g
★3つ目:N06チキンチップ",auto_extracted,CM512,"★1つ目:N06チキンチップ10g
★2つ目:N06チキンチップ10g
★3つ目:N06チキンチップ",CHOICE_CM512,57,57
"◆１:R02 エゾ鹿ミンチ30g
◆２:R02 エゾ鹿ミンチ30g
◆３:R02 エゾ鹿ミンチ30g
◆４（※レトルトはこちらからお選びください）:R02 エゾ鹿ミンチ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_13,"エゾ鹿ミンチ30g
◆２:R02 エゾ鹿ミンチ30g
◆３:R02 エゾ鹿ミンチ30g
◆４（※レトルトはこちらからお",auto_extracted,CM513,"エゾ鹿ミンチ30g
◆２:R02 エゾ鹿ミンチ30g
◆３:R02 エゾ鹿ミンチ30g
◆４（※レトルトはこちらからお",CHOICE_CM513,57,42
"◆１:R01 エゾ鹿スライス30g
◆２:R01 エゾ鹿スライス30g
◆３:R01 エゾ鹿スライス30g
◆４（※レトルトはこちらからお選びください）:R01 エゾ鹿スライス30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_14,"エゾ鹿スライス30g
◆２:R01 エゾ鹿スライス30g
◆３:R01 エゾ鹿スライス30g
◆４（※レトルトはこちらからお",auto_extracted,CM514,"エゾ鹿スライス30g
◆２:R01 エゾ鹿スライス30g
◆３:R01 エゾ鹿スライス30g
◆４（※レトルトはこちらからお",CHOICE_CM514,54,54
"◆１:R06 スライスサーモン30g
◆２:R06 スライスサーモン30g
◆３:R06 スライスサーモン30g
◆４（※レトルトはこちらからお選びください）:R06 スライスサーモン30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_15,"スライスサーモン30g
◆２:R06 スライスサーモン30g
◆３:R06 スライスサーモン30g
◆４（※レトルトはこちらからお",auto_extracted,CM515,"スライスサーモン30g
◆２:R06 スライスサーモン30g
◆３:R06 スライスサーモン30g
◆４（※レトルトはこちらからお",CHOICE_CM515,54,45
★お好きな１袋をお選びください:R01.エゾ鹿スライスジャーキー 10g,選択肢_16,エゾ鹿スライスジャーキー 10g,auto_extracted,CM516,エゾ鹿スライスジャーキー 10g,CHOICE_CM516,48,15
"★1つ目:N01エゾ鹿チップ10g
★2つ目:N01.エゾ鹿チップ10g
★3つ目:N01エゾ鹿チップ10g
★4つ目※クマザサふりかけはこちら:N01.エゾ鹿チップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_17,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N01.エゾ鹿チップ10g
★3つ目:N01エゾ鹿チッ",auto_extracted,CM517,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N01.エゾ鹿チップ10g
★3つ目:N01エゾ鹿チッ",CHOICE_CM517,45,42
"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W01.エゾ鹿スライスジャーキー 30g",選択肢_18,"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W01.エゾ鹿スライスジャ",auto_extracted,CM518,"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W01.エゾ鹿スライスジャ",CHOICE_CM518,42,30
★お好きな１袋をお選びください:R07.ひとくちサーモン 10g,選択肢_19,ひとくちサーモン 10g,auto_extracted,CM519,ひとくちサーモン 10g,CHOICE_CM519,39,12
"★1つ目:N04サーモンフレーク20g
★2つ目:N04.サーモンフレーク20g
★3つ目:N04サーモンフレーク20g
★4つ目※クマザサふりかけはこちら:N09.クマザサ鮭ふりかけ30g
☆メール便のため同梱不可です:了承済み",選択肢_20,"★1つ目:N04サーモンフレーク20g
★2つ目:N04.サーモンフレーク20g
★3つ目:N04サ",auto_extracted,CM520,"★1つ目:N04サーモンフレーク20g
★2つ目:N04.サーモンフレーク20g
★3つ目:N04サ",CHOICE_CM520,39,39
★お好きな１袋をお選びください:R11.鶏むねスライスジャーキー10g,選択肢_21,鶏むねスライスジャーキー10g,auto_extracted,CM521,鶏むねスライスジャーキー10g,CHOICE_CM521,36,9
★お好きな１袋をお選びください:R02.ころころエゾ鹿ミンチ 10g,選択肢_22,ころころエゾ鹿ミンチ 10g,auto_extracted,CM522,ころころエゾ鹿ミンチ 10g,CHOICE_CM522,33,9
"★袋は別添え配送です:商品は袋の中に入れずにお届け
★ご注意ください:袋のみのご購入は不可",選択肢_23,"★袋は別添え配送です:商品は袋の中に入れずにお届け
★ご注意ください:袋のみのご購入は不可",auto_extracted,CM523,"★袋は別添え配送です:商品は袋の中に入れずにお届け
★ご注意ください:袋のみのご購入は不可",CHOICE_CM523,33,24
"◆１:R07 スティックサーモン30g
◆２:R07 スティックサーモン30g
◆３:R07 スティックサーモン30g
◆４（※レトルトはこちらからお選びください）:R07 スティックサーモン30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_24,"スティックサーモン30g
◆２:R07 スティックサーモン30g
◆３:R07 スティックサーモン30g
◆４（※レトルトはこちらからお",auto_extracted,CM524,"スティックサーモン30g
◆２:R07 スティックサーモン30g
◆３:R07 スティックサーモン30g
◆４（※レトルトはこちらからお",CHOICE_CM524,30,30
"◆１:8.ひとくちサーモン30g
◆２:8.ひとくちサーモン30g
◆３:8.ひとくちサーモン30g
◆４（※レトルトはこちらからお選びください）:8.ひとくちサーモン30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_25,"◆１:8.ひとくちサーモン30g
◆２:8.ひとくちサーモン30g
◆３:8.ひとくちサーモン30g",auto_extracted,CM525,"◆１:8.ひとくちサーモン30g
◆２:8.ひとくちサーモン30g
◆３:8.ひとくちサーモン30g",CHOICE_CM525,30,27
"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C10.鶏ささみスライス（10g）
3つ目:C15.ころころクッキーMIX（8粒）
4つ目:C16.ふわふわスモーク（5g）
★メール便のため同梱不可です:了承済",選択肢_26,"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C10.鶏ささみスライス（10g）
3つ目:C15",auto_extracted,CM526,"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C10.鶏ささみスライス（10g）
3つ目:C15",CHOICE_CM526,30,3
"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W08.ひとくちサーモン 30g",選択肢_27,"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W08.ひとくちサーモン",auto_extracted,CM527,"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W08.ひとくちサーモン",CHOICE_CM527,27,27
"◆１:R03 ころころエゾ鹿ミンチ30g
◆２:R03 ころころエゾ鹿ミンチ30g
◆３:R08 ひとくちサーモン30g
◆４（※レトルトはこちらからお選びください）:R08 ひとくちサーモン30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_28,"ころころエゾ鹿ミンチ30g
◆２:R03 ころころエゾ鹿ミンチ30g
◆３:R08 ひとくちサーモン30g
◆４（※レトルトはこちらからお",auto_extracted,CM528,"ころころエゾ鹿ミンチ30g
◆２:R03 ころころエゾ鹿ミンチ30g
◆３:R08 ひとくちサーモン30g
◆４（※レトルトはこちらからお",CHOICE_CM528,27,24
"★1つ目:N04サーモンフレーク20g
★2つ目:N04.サーモンフレーク20g
★3つ目:N04サーモンフレーク20g
★4つ目※クマザサふりかけはこちら:N04.サーモンフレーク 20g
☆メール便のため同梱不可です:了承済み",選択肢_29,"★1つ目:N04サーモンフレーク20g
★2つ目:N04.サーモンフレーク20g
★3つ目:N04サ",auto_extracted,CM529,"★1つ目:N04サーモンフレーク20g
★2つ目:N04.サーモンフレーク20g
★3つ目:N04サ",CHOICE_CM529,24,24
★お好きな１袋をお選びください:R10 鶏ささみスライスジャーキ-10g,選択肢_30,鶏ささみスライスジャーキ-10g,auto_extracted,CM530,鶏ささみスライスジャーキ-10g,CHOICE_CM530,24,18
"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W18.ころころ馬肉ミンチ 30g",選択肢_31,"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W18.ころころ馬肉ミンチ",auto_extracted,CM531,"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W18.ころころ馬肉ミンチ",CHOICE_CM531,24,12
"◆１:R03 ころころエゾ鹿ミンチ30g
◆２:R03 ころころエゾ鹿ミンチ30g
◆３:R03 ころころエゾ鹿ミンチ30g
◆４（※レトルトはこちら◇からお選びください）:R03 ころころエゾ鹿ミンチ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_32,"ころころエゾ鹿ミンチ30g
◆２:R03 ころころエゾ鹿ミンチ30g
◆３:R03 ころころエゾ鹿ミンチ30g
◆４（※レトルトはこちら◇からお",auto_extracted,CM532,"ころころエゾ鹿ミンチ30g
◆２:R03 ころころエゾ鹿ミンチ30g
◆３:R03 ころころエゾ鹿ミンチ30g
◆４（※レトルトはこちら◇からお",CHOICE_CM532,24,18
"◆１:R12 鶏むねスライス30g
◆２:R12 鶏むねスライス30g
◆３:R12 鶏むねスライス30g
◆４（※レトルトはこちら◇からお選びください）:R12 鶏むねスライス30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_33,"鶏むねスライス30g
◆２:R12 鶏むねスライス30g
◆３:R12 鶏むねスライス30g
◆４（※レトルトはこちら◇からお",auto_extracted,CM533,"鶏むねスライス30g
◆２:R12 鶏むねスライス30g
◆３:R12 鶏むねスライス30g
◆４（※レトルトはこちら◇からお",CHOICE_CM533,24,18
"★1つ目:N01エゾ鹿チップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N06チキンチップ10g
★4つ目※クマザサふりかけはこちら:N05.白子チップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_34,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N06チキンチ",auto_extracted,CM534,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N06チキンチ",CHOICE_CM534,24,24
"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C08.鮭白子スライス(10g)
3つ目:C11.鶏むねスライス（10g）
4つ目:C16.ふわふわスモーク（5g）
★メール便のため同梱不可です:了承済",選択肢_35,"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C08.鮭白子スライス(10g)
3つ目:C11.",auto_extracted,CM535,"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C08.鮭白子スライス(10g)
3つ目:C11.",CHOICE_CM535,24,6
"★1つ目:N01エゾ鹿チップ10g
★2つ目:N01.エゾ鹿チップ10g
★3つ目:N03サーモンチップ10g
★4つ目※クマザサふりかけはこちら:N03.サーモンチップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_36,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N01.エゾ鹿チップ10g
★3つ目:N03サーモンチ",auto_extracted,CM536,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N01.エゾ鹿チップ10g
★3つ目:N03サーモンチ",CHOICE_CM536,24,18
"◆１:1.エゾ鹿スライス30g
◆２:1.エゾ鹿スライス30g
◆３:1.エゾ鹿スライス30g
◆４（※レトルトはこちらからお選びください）:1.エゾ鹿スライス30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_37,"◆１:1.エゾ鹿スライス30g
◆２:1.エゾ鹿スライス30g
◆３:1.エゾ鹿スライス30g
◆４",auto_extracted,CM537,"◆１:1.エゾ鹿スライス30g
◆２:1.エゾ鹿スライス30g
◆３:1.エゾ鹿スライス30g
◆４",CHOICE_CM537,24,18
"◆１:11.鶏ささみスライス30g
◆２:11.鶏ささみスライス30g
◆３:11.鶏ささみスライス30g
◆４（※レトルトはこちらからお選びください）:11.鶏ささみスライス30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_38,"◆１:11.鶏ささみスライス30g
◆２:11.鶏ささみスライス30g
◆３:11.鶏ささみスライス",auto_extracted,CM538,"◆１:11.鶏ささみスライス30g
◆２:11.鶏ささみスライス30g
◆３:11.鶏ささみスライス",CHOICE_CM538,24,18
"◆１:R22 牛鬼筋30g
◆２:R22 牛鬼筋30g
◆３:R22 牛鬼筋30g
◆４（※レトルトはこちらからお選びください）:R22 牛鬼筋30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_39,"牛鬼筋30g
◆２:R22 牛鬼筋30g
◆３:R22 牛鬼筋30g
◆４（※レトルトはこちらからお",auto_extracted,CM539,"牛鬼筋30g
◆２:R22 牛鬼筋30g
◆３:R22 牛鬼筋30g
◆４（※レトルトはこちらからお",CHOICE_CM539,24,12
"◆１:R16 豚耳スライス30g
◆２:R16 豚耳スライス30g
◆３:R16 豚耳スライス30g
◆４（※レトルトはこちらからお選びください）:R18 ころころ牛タン皮30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_40,"豚耳スライス30g
◆２:R16 豚耳スライス30g
◆３:R16 豚耳スライス30g
◆４（※レトルトはこちらからお",auto_extracted,CM540,"豚耳スライス30g
◆２:R16 豚耳スライス30g
◆３:R16 豚耳スライス30g
◆４（※レトルトはこちらからお",CHOICE_CM540,24,24
"1つ目:C02.ころころエゾ鹿ミンチ(10g)
2つ目:C12.鶏砂肝ジャーキー（10g）
3つ目:C01.エゾ鹿スライス(10g)
4つ目:C10.鶏ささみスライス（10g）
★メール便のため同梱不可です:了承済",選択肢_41,"1つ目:C02.ころころエゾ鹿ミンチ(10g)
2つ目:C12.鶏砂肝ジャーキー（10g）
3つ目:",auto_extracted,CM541,"1つ目:C02.ころころエゾ鹿ミンチ(10g)
2つ目:C12.鶏砂肝ジャーキー（10g）
3つ目:",CHOICE_CM541,24,3
"◆１:R11 鶏ささみスライス30g
◆２:R11 鶏ささみスライス30g
◆３:R11 鶏ささみスライス30g
◆４（※レトルトはこちら◇からお選びください）:R11 鶏ささみスライス30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_42,"鶏ささみスライス30g
◆２:R11 鶏ささみスライス30g
◆３:R11 鶏ささみスライス30g
◆４（※レトルトはこちら◇からお",auto_extracted,CM542,"鶏ささみスライス30g
◆２:R11 鶏ささみスライス30g
◆３:R11 鶏ささみスライス30g
◆４（※レトルトはこちら◇からお",CHOICE_CM542,21,15
"★1つ目:M01 エゾ鹿チップ 3g(猫)
★2つ目:M03 サーモンチップ 3g(猫)
★3つ目:M05 白子チップ 3g(猫)
★4つ目:M07 チキンフレーク 5g(猫)
※メール便のため同梱不可です:了承済
※おためしのため重複不可:了承済み",選択肢_43,"★1つ目:M01 エゾ鹿チップ 3g(猫)
★2つ目:M03 サーモンチップ 3g(猫)
★3つ目:",auto_extracted,CM543,"★1つ目:M01 エゾ鹿チップ 3g(猫)
★2つ目:M03 サーモンチップ 3g(猫)
★3つ目:",CHOICE_CM543,21,21
"★1つ目:M02 エゾ鹿フレーク 5g(猫)
★2つ目:M04 サーモンフレーク 5g(猫)
★3つ目:M05 白子チップ 3g(猫)
★4つ目:M07 チキンフレーク 5g(猫)
※メール便のため同梱不可です:了承済
※おためしのため重複不可:了承済み",選択肢_44,"★1つ目:M02 エゾ鹿フレーク 5g(猫)
★2つ目:M04 サーモンフレーク 5g(猫)
★3つ",auto_extracted,CM544,"★1つ目:M02 エゾ鹿フレーク 5g(猫)
★2つ目:M04 サーモンフレーク 5g(猫)
★3つ",CHOICE_CM544,21,15
"◆１:R13 鶏砂肝ジャーキ30g
◆２:R13 鶏砂肝ジャーキー30g
◆３:R13 鶏砂肝ジャーキー30g
◆４（※レトルトはこちらからお選びください）:R13 鶏砂肝ジャーキー30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_45,"鶏砂肝ジャーキ30g
◆２:R13 鶏砂肝ジャーキー30g
◆３:R13 鶏砂肝ジャーキー30g
◆４（※レトルトはこちらからお",auto_extracted,CM545,"鶏砂肝ジャーキ30g
◆２:R13 鶏砂肝ジャーキー30g
◆３:R13 鶏砂肝ジャーキー30g
◆４（※レトルトはこちらからお",CHOICE_CM545,21,21
"◆１:6.スライスサーモン30g
◆２:6.スライスサーモン30g
◆３:6.スライスサーモン30g
◆４（※レトルトはこちらからお選びください）:6.スライスサーモン30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_46,"◆１:6.スライスサーモン30g
◆２:6.スライスサーモン30g
◆３:6.スライスサーモン30g",auto_extracted,CM546,"◆１:6.スライスサーモン30g
◆２:6.スライスサーモン30g
◆３:6.スライスサーモン30g",CHOICE_CM546,21,15
"★1つ目:N03サーモンチップ10g
★2つ目:N05.白子チップ10g
★3つ目:N06チキンチップ10g
★4つ目※クマザサふりかけはこちら:N01.エゾ鹿チップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_47,"★1つ目:N03サーモンチップ10g
★2つ目:N05.白子チップ10g
★3つ目:N06チキンチッ",auto_extracted,CM547,"★1つ目:N03サーモンチップ10g
★2つ目:N05.白子チップ10g
★3つ目:N06チキンチッ",CHOICE_CM547,21,12
"★1つ目:1エゾ鹿チップ10g
★2つ目:3.サーモンチップ10g
★3つ目:5白子チップ10g
★4つ目※クマザサふりかけはこちら:6チキンチップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_48,"★1つ目:1エゾ鹿チップ10g
★2つ目:3.サーモンチップ10g
★3つ目:5白子チップ10g
★",auto_extracted,CM548,"★1つ目:1エゾ鹿チップ10g
★2つ目:3.サーモンチップ10g
★3つ目:5白子チップ10g
★",CHOICE_CM548,21,21
"1つ目:2.ころころエゾ鹿ミンチ(10g)
2つ目:11.鶏むねスライス（10g）
3つ目:1.エゾ鹿スライスジャーキー(10g)
4つ目:5.スライスサーモン(10g)
★メール便のため同梱不可です:了承済",選択肢_49,"1つ目:2.ころころエゾ鹿ミンチ(10g)
2つ目:11.鶏むねスライス（10g）
3つ目:1.エゾ",auto_extracted,CM549,"1つ目:2.ころころエゾ鹿ミンチ(10g)
2つ目:11.鶏むねスライス（10g）
3つ目:1.エゾ",CHOICE_CM549,21,3
"1つ目:R02 エゾ鹿バーグ100g
2つ目:R08 馬うまバーグ100g
★メール便のため同梱不可です:了承済",選択肢_50,"エゾ鹿バーグ100g
2つ目:R08 馬うまバーグ100g
★メール便のため同梱不可です:了承済",auto_extracted,CM550,"エゾ鹿バーグ100g
2つ目:R08 馬うまバーグ100g
★メール便のため同梱不可です:了承済",CHOICE_CM550,21,15
"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W30.ふわふわスモークサーモン15g",選択肢_51,"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W30.ふわふわスモークサ",auto_extracted,CM551,"※メール便のため同梱不可です:了承済
★ご希望の商品を１袋お選びください:W30.ふわふわスモークサ",CHOICE_CM551,18,18
"★1つ目:N03サーモンチップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N05白子チップ10g
★4つ目※クマザサふりかけはこちら:N05.白子チップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_52,"★1つ目:N03サーモンチップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N05白子チ",auto_extracted,CM552,"★1つ目:N03サーモンチップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N05白子チ",CHOICE_CM552,18,18
"★1つ目:N01エゾ鹿チップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N05白子チップ10g
★4つ目※クマザサふりかけはこちら:N08.クマザサ鹿ふりかけ 30g
☆メール便のため同梱不可です:了承済み",選択肢_53,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N05白子チッ",auto_extracted,CM553,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N05白子チッ",CHOICE_CM553,18,18
"★1つ目:N03サーモンチップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N06チキンチップ10g
★4つ目※クマザサふりかけはこちら:N06チキンチップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_54,"★1つ目:N03サーモンチップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N06チキン",auto_extracted,CM554,"★1つ目:N03サーモンチップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N06チキン",CHOICE_CM554,18,15
"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C07.ひとくちサーモン(10g)
3つ目:C08.鮭白子スライス(10g)
4つ目:C10.鶏ささみスライス（10g）
★メール便のため同梱不可です:了承済",選択肢_55,"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C07.ひとくちサーモン(10g)
3つ目:C08",auto_extracted,CM555,"1つ目:C01.エゾ鹿スライス(10g)
2つ目:C07.ひとくちサーモン(10g)
3つ目:C08",CHOICE_CM555,18,12
